id,questionnaire_id,questionnaire_number,type,min,max,max_length,question_text
27,1,26,2,1,1,,あなたの日常生活の活動レベルについて教えてください。
28,1,27,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
29,1,28,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
30,1,29,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
31,1,30,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
32,1,31,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
33,1,32,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
34,1,33,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
35,1,34,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
36,1,35,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
37,1,36,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
38,1,37,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
39,1,38,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
40,1,39,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
41,1,40,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
42,1,41,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
43,1,42,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
44,1,43,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
45,1,44,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
46,1,45,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
47,1,46,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
48,1,47,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
49,1,48,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
50,1,49,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療方法を受けたいと思いますか。お気持ちに近い方をお選びください。
51,1,50,1,1,3,,あなたが、がん治療に望むことは何ですか。(最大3つまで)
52,1,51,3,1,1,,"あなたは、がんの治療方法を決める際にどなたに最も相談をしますか（しましたか）。
※複数あてはまる場合は、最も相談する（した）方をお選びください。"
53,1,52,2,1,1,,今後の治療方針について医師から説明がありましたか、また理解できましたか。
54,1,53,2,1,1,,あなたが受けた『肝動脈化学塞栓療法（TACE）』の総合的な満足度を教えてください。
55,1,54,1,1,4,,前問で『肝動脈化学塞栓療法（TACE）』について【不満足】とお答えになった理由を教えてください。
56,1,55,4,1,99,,"あなたが受けた『肝動脈化学塞栓療法（TACE）』の回数を教えてください。
※正確に覚えていらっしゃらない場合は、おおよその回数をご記入ください。"
57,1,56,2,1,1,,あなたが受けた『肝動脈化学塞栓療法（TACE）』の1回あたりの平均の入院期間を教えてください。
58,1,57,2,1,1,,あなたが『肝動脈化学塞栓療法（TACE）』を受けた際の病院を教えてください。
59,1,58,2,1,1,,あなたが『肝動脈化学塞栓療法（TACE）』を受けたときの、主治医の診療科を教えてください。
60,1,59,1,1,4,,あなたが、細胞障害性化学療法について知っていることを教えてください。（いくつでも）
61,1,60,1,1,4,,あなたが、分子標的薬について知っていることを教えてください。（いくつでも）
62,1,61,1,1,4,,あなたが、免疫チェックポイント阻害薬について知っていることを教えてください。（いくつでも）
63,1,62,2,1,1,,あなたはこれまで肝細胞がんに関する臨床試験（治験）に参加したことがありますか。
64,1,63,2,1,1,,あなたのお住まいを教えてください。 都市部：東京23区、横浜市、大阪市、名古屋市、札幌市、福岡市、川崎市、神戸市、京都市、さいたま市、広島市、仙台市 その他：上記以外
65,1,64,3,1,1,,あなたの最終学歴をお選びください。
66,1,65,2,1,1,,あなたの同居についてお選びください。
67,1,66,2,1,1,,"あなたの同居家族をお選びください。
※あなたから見た関係でお答えください。"
68,1,67,2,1,1,,あなたの就業状況をお選びください。
69,1,68,3,1,1,,あなたの世帯年収（税込み）をお教えください。
70,2,0,1,2,2,,"「肝細胞がんに対する肝動脈化学塞栓療法と薬物療法の併用における日本人患者および医師の治療選好：DCE調査研究」
版数：第●.● 版（医師用）
作成日：2022 年●月●日

※承認後のICFの内容を表示"
71,2,1,2,1,1,,調査概要を提示
72,2,2,3,1,1,,このアンケートをご案内した際のメールに記載されているアンケート番号を選択してください。アンケート番号は記載されていない場合もあります。
73,2,3,2,1,1,,先生の生物学的な性別をお教えください。
74,2,4,2,1,1,,先生の年齢をお教えください。
75,2,5,2,1,1,,医師免許の取得状況としてあてはまるものをお選びください。
76,2,6,2,1,1,,先生が所属する「診療科」に最も近いものを１つお選びください。
77,2,7,3,1,1,,"先生が日本において年間に治療される肝細胞がん患者の平均人数を教えてください。
※直近3年間のことについてお答えください。"
78,2,8,2,1,1,,現在、先生がご自身で施行されている肝細胞がん治療を教えてください。
79,2,9,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
80,2,10,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
81,2,11,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
82,2,12,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
83,2,13,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
84,2,14,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
85,2,15,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
86,2,16,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
87,2,17,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
88,2,18,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
89,2,19,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
90,2,20,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
91,2,21,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
92,2,22,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
93,2,23,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
94,2,24,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
95,2,25,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
96,2,26,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
97,2,27,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
98,2,28,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
99,2,29,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
100,2,30,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
101,2,31,6,1,1,,以下の治療方法を良くご覧ください。あなたは、どちらの治療法が好ましいと思いますか。お気持ちに近い方をお選びください。
102,2,32,2,1,1,,先生の現在の勤務先病院種別を教えてください。
103,2,33,3,1,1,,先生の臨床経験を教えてください。
104,2,34,3,1,1,,先生の肝細胞がん治療の経験を教えてください。
105,2,35,2,1,1,,肝動脈化学塞栓療法（TACE）後の診療頻度について教えてください。
