questionnaire_id,questionnair_number,label,value,sort,next_questionnaire_number,back_questionnaire_number
1,12,薬物療法,6,6,1001,12
1,12,放射線治療,7,7,1001,12
1,12,粒子線治療,8,8,1001,12
1,12,肝移植,9,9,1001,12
1,12,その他,10,10,1001,12
1,13,2023年,1,1,14,13
1,13,2022年,2,2,14,13
1,13,2021年,3,3,14,13
1,13,2020年,4,4,14,13
1,13,2019年,5,5,14,13
1,13,2018年,6,6,14,13
1,13,2017年以前,7,7,1001,13
1,13,わからない,8,8,1001,13
1,14,1月,1,1,1001,14
1,14,2月,2,2,1001,14
1,14,3月,3,3,1001,14
1,14,4月,4,4,1001,14
1,14,5月,5,5,15,14
1,14,6月,6,6,15,14
1,14,7月,7,7,15,14
1,14,8月,8,8,15,14
1,14,9月,9,9,15,14
1,14,10月,10,10,15,14
1,14,11月,11,11,15,14
1,14,12月,12,12,15,14
1,14,わからない,13,13,1001,14
1,15,免疫療法薬,1,1,16,15
1,15,分子標的薬,2,2,16,15
1,15,細胞毒性化学療法,3,3,16,15
1,15,その他,4,4,16,15
1,15,不明,5,5,16,15
1,16,再発がある,1,1,17,16
1,16,再発はない,2,2,17,16
1,16,わからない／覚えていない,3,3,17,16
1,17,回,0,1,18,17
1,18,あてはまらない（がん（腫瘍）が消失している状態）,1,1,19,18
1,18,肝臓のみ,2,2,19,18
1,18,他の臓器にある（リンパ節、肺、骨、副腎など）,3,3,19,18
1,18,不明,4,4,19,18
1,19,手足症候群、皮膚障害,1,1,20,19
1,19,高血圧,2,2,20,19
1,19,腹痛,3,3,20,19
1,19,下痢,4,4,20,19
1,19,発熱,5,5,20,19
1,19,倦怠感,6,6,20,19
1,19,甲状腺機能異常,7,7,20,19
1,19,肺炎（間質性肺炎含む）,8,8,20,19
1,19,1型糖尿病,9,9,20,19
1,19,副腎機能、下垂体機能障害,10,10,20,19
1,19,心筋炎,11,11,20,19
1,19,胸痛,12,12,20,19
1,19,吐き気,13,13,20,19
1,19,食欲不振,14,14,20,19
1,19,肝機能障害,15,15,20,19
1,19,その他,16,16,20,19
1,19,副作用はなかった,17,17,20,19
1,20,B型肝炎,1,1,21,20
1,20,C型肝炎,2,2,21,20
1,20,アルコール性肝炎,3,3,21,20
1,20,非アルコール性肝炎（NASH）,4,4,21,20
1,20,その他,5,5,21,20
1,20,わからない・知らない,6,6,21,20
1,20,あてはまらない,7,7,21,20
1,21,Child-Pugh分類A：正常肝～軽度の肝硬変で肝機能は保たれている,1,1,22,21
1,21,Child-Pugh分類B：中程度の肝硬変で、軽度な合併症（症状）がみられる,2,2,22,21
1,21,Child-Pugh分類C：重度の肝硬変で肝臓の機能が維持できなくなり、様々な合併症（症状）があらわれる,3,3,22,21
1,21,わからない・覚えていない,4,4,22,21
1,22,肝硬変がある,1,1,23,22
1,22,肝硬変はない,2,2,23,22
1,22,わからない・覚えていない,3,3,23,22
1,23,現在は通院はしていない,1,1,24,23
1,23,週に1回程度,2,2,24,23
1,23,2週に1回程度,3,3,24,23
1,23,1か月に1回程度,4,4,24,23
1,23,2~3か月に1回程度,5,5,24,23
1,23,それ以下の頻度,6,6,24,23
1,24,都市部,1,1,25,24
1,24,その他,2,2,25,24
1,25,大学病院,1,1,26,25
1,25,がん専門病院,2,2,26,25
1,25,公立・私立病院（大学病院、がん専門病院を除く）,3,3,26,25
1,25,クリニック・診療所,4,4,26,25
1,25,その他,5,5,26,25
1,25,わからない・覚えていない,6,6,26,25
1,26,発病前と同じ日常生活が全く問題なくできる（日常生活が制限なく行える）,1,1,27,26
1,26,肉体的に激しい活動は制限されるが歩行は可能で、軽作業や座りながらの作業は行える（軽い家事、事務作業）,2,2,27,26
1,26,歩行可能で、自分の身の回りのことは全て行うことができるが、作業はできない。日中の50％以上はベッド外で過ごす,3,3,27,26
1,26,限られた自分の身の回りのことしかできない。日中の50%以上をベッドか椅子で過ごす,4,4,27,26
1,26,全く動けない。自分の身の回りのことは全くできない。完全にベッドか椅子で過ごす,5,5,27,26
1,50,がんが治る,1,1,51,50
1,50,より長く生きる,2,2,51,50
1,50,がんが進行／再発しない期間が延びる,3,3,51,50
1,50,がんが（一時的にでも）小さくなる,4,4,51,50
1,50,元気に生活できる時間が延びる,5,5,51,50
1,50,日常生活に影響が出る副作用が起きにくい,6,6,51,50
1,50,今ある痛みやその他の症状が減る,7,7,51,50
1,50,治療の選択肢が増える,8,8,51,50
1,50,入院・通院頻度などの負担が少ない,9,9,51,50
1,50,経済的負担が少ない,10,10,51,50
1,50,その他,11,11,51,50
1,51,主治医,1,1,52,51
1,51,主治医以外の医師,2,2,52,51
1,51,看護師,3,3,52,51
1,51,薬剤師,4,4,52,51
1,51,ソーシャルワーカー／相談員,5,5,52,51
1,51,カウンセラー,6,6,52,51
1,51,患者会,7,7,52,51
1,51,配偶者,8,8,52,51
1,51,親,9,9,52,51
1,51,子ども,10,10,52,51
1,51,友人・知人,11,11,52,51
1,51,その他,12,12,52,51
1,51,相談はしない（していない）,13,13,52,51
1,52,理解できた,1,1,53,52
1,52,まあ理解できた,2,2,53,52
1,52,あまり理解できなかった,3,3,53,52
1,52,理解できなかった,4,4,53,52
1,52,具体的な説明はなかった,5,5,53,52
1,53,とても満足,1,1,54,53
1,53,やや満足,2,2,54,53
1,53,やや不満足,3,3,54,53
1,53,とても不満足,4,4,54,53
1,54,副作用が強かったから,1,1,55,54
1,54,効果がなかったから,2,2,55,54
1,54,日常生活に影響があったから（入院や通院など）,3,3,55,54
1,54,その他,4,4,55,54
1,55,回,0,1,56,55
1,56,1週間未満,1,1,57,56
1,56,1週間以上～2週間未満,2,2,57,56
1,56,2週間以上～3週間未満,3,3,57,56
1,56,3週間以上～4週間未満,4,4,57,56
1,56,4週間以上,5,5,57,56
1,57,大学病院,1,1,58,57
1,57,がん専門病院,2,2,58,57
1,57,公立・私立病院（大学病院、がん専門病院を除く）,3,3,58,57
1,57,クリニック・診療所,4,4,58,57
1,57,その他,5,5,58,57
1,57,わからない・覚えていない,6,6,58,57
1,58,肝臓内科（消化器内科）,1,1,59,58
1,58,腫瘍内科（がんの薬物治療を専門とする診療科）,2,2,59,58
1,58,外科,3,3,59,58
1,58,放射線科,4,4,59,58
1,58,その他,5,5,59,58
1,58,わからない・覚えていない,6,6,59,58
1,59,作用機序（どのように体に作用するか）,1,1,60,59
1,59,特徴的な副作用,2,2,60,59
1,59,肝細胞がんに対する効果,3,3,60,59
1,59,薬剤名,4,4,60,59
1,59,細胞障害性化学療法を知らない,5,5,60,59
1,60,作用機序（どのように体に作用するか）,1,1,61,60
1,60,特徴的な副作用,2,2,61,60
1,60,肝細胞がんに対する効果,3,3,61,60
1,60,薬剤名,4,4,61,60
1,60,分子標的薬を知らない,5,5,61,60
1,61,作用機序（どのように体に作用するか）,1,1,62,61
1,61,特徴的な副作用,2,2,62,61
1,61,肝細胞がんに対する効果,3,3,62,61
1,61,薬剤名,4,4,62,61
1,61,免疫チェックポイント阻害薬を知らない,5,5,62,61
1,62,参加したことがある,1,1,63,62
1,62,参加したことがない,2,2,63,62
1,63,都市部,1,1,64,63
1,63,その他,2,2,64,63
1,64,小・中学校,1,1,65,64
1,64,高等学校,2,2,65,64
1,64,高等専門学校,3,3,65,64
1,64,専門学校,4,4,65,64
1,64,短期大学,5,5,65,64
1,64,大学,6,6,65,64
1,64,大学院,7,7,65,64
1,64,その他,8,8,65,64
1,65,一人暮らし,1,1,66,65
1,65,他の人と生活（ご家族を含む）,2,2,66,65
1,65,その他（例:グループホーム）,3,3,66,65
1,66,配偶者,1,1,67,66
1,66,配偶者と子供,2,2,67,66
1,66,子供のみ,3,3,67,66
1,66,その他,4,4,67,66
1,67,フルタイム,1,1,68,67
1,67,パートタイム,2,2,68,67
1,67,引退,3,3,68,67
1,67,その他,4,4,68,67
1,68,100万円未満,1,1,1000,68
1,68,100以上～400万円未満,2,2,1000,68
1,68,400以上～600万円未満,3,3,1000,68
1,68,600以上～800万円未満,4,4,1000,68
1,68,"800以上～1,000万円未満",5,5,1000,68
1,68,"1,000万円以上",6,6,1000,68
1,68,その他（生活保護費受給など）,7,7,1000,68
1,68,分からない、答えたくない,8,8,1000,68
2,0,同意説明文書を読んで、内容を理解しました。,1,1,1,0
2,0,本研究への参加に同意する,2,2,1,0
2,0,同意しない,3,3,1001,0
2,1,アンケートの回答に進む,1,1,2,1
2,1,アンケートの回答をやめる,2,2,1001,1
2,2,特にメールに記載はなかった,1,1,3,2
2,2,ST1,2,2,3,2
2,2,MS2,3,3,3,2
2,2,IS3,4,4,3,2
2,2,EE4,5,5,3,2
2,2,YI5,6,6,3,2
2,2,UH6,7,7,3,2
2,3,男性,1,1,4,3
2,3,女性,2,2,4,3
2,4,20代,1,1,5,4
2,4,30代,2,2,5,4
2,4,40代,3,3,5,4
2,4,50代,4,4,5,4
2,4,60代以上,5,5,5,4
2,5,日本の医師免許を取得している,1,1,6,5
2,5,日本の医師免許は取得していない,2,2,1001,5
2,6,肝臓内科（消化器内科）,1,1,7,6
2,6,腫瘍内科,2,2,7,6
2,6,外科,3,3,7,6
2,6,放射線科,4,4,7,6
2,6,その他,5,5,7,6
2,7,0名,1,1,1001,7
2,7,1名以上～5名未満,2,2,1001,7
2,7,5名以上～10名未満,3,3,8,7
2,7,10名以上～15名未満,4,4,8,7
2,7,15名以上～30名未満,5,5,8,7
2,7,30名以上～50名未満,6,6,8,7
2,7,50名以上～80名未満,7,7,8,7
2,7,80名以上～100名未満,8,8,8,7
2,7,100名以上,9,9,8,7
2,8,肝動脈化学塞栓療法（TACE）,1,1,9,8
2,8,薬物療法,2,2,9,8
2,8,肝動脈化学塞栓療法（TACE）と薬物療法の両方,3,3,9,8
2,8,いずれも自身では施行していない,4,4,9,8
2,32,大学病院,1,1,33,32
2,32,がん専門病院,2,2,33,32
2,32,公立・私立病院（大学病院、がん専門病院を除く）,3,3,33,32
2,32,クリニック・診療所,4,4,33,32
2,32,その他,5,5,33,32
2,33,1年未満,1,1,34,33
2,33,1年以上～2年未満,2,2,34,33
2,33,2年以上～3年未満,3,3,34,33
2,33,3年以上～4年未満,4,4,34,33
2,33,4年以上～5年未満,5,5,34,33
2,33,5年以上～10年未満,6,6,34,33
2,33,10年以上,7,7,34,33
2,34,1年未満,1,1,35,34
2,34,1年以上～2年未満,2,2,35,34
2,34,2年以上～3年未満,3,3,35,34
2,34,3年以上～4年未満,4,4,35,34
2,34,4年以上～5年未満,5,5,35,34
2,34,5年以上～10年未満,6,6,35,34
2,34,10年以上,7,7,35,34
2,35,毎週,1,1,1000,35
2,35,2週間に1回程度,2,2,1000,35
2,35,1か月に1回程度,3,3,1000,35
2,35,2〜3か月に1回程度,4,4,1000,35
2,35,それ以下の頻度,5,5,1000,35
2,35,その他,6,6,1000,35
